User,Degree Centrality,Betweenness Centrality
2010,0.01694915254237288,0.0
6428,0.00847457627118644,0.0
6178,0.025423728813559324,0.0
1118,0.09322033898305085,0.0
6095,0.11016949152542373,0.0077816408324882895
6536,0.00847457627118644,0.0
1117,0.07627118644067797,0.0
2126,0.03389830508474576,0.00010864841373315949
6146,0.01694915254237288,0.0
6423,0.01694915254237288,7.243227582210633e-05
6188,0.0423728813559322,7.243227582210633e-05
6107,0.03389830508474576,0.00021729682746631898
1203,0.00847457627118644,0.0
9807,0.00847457627118644,0.0
10961,0.025423728813559324,0.0
7902,0.00847457627118644,0.0
6336,0.03389830508474576,0.0016985368680283936
6184,0.05084745762711865,0.010285383166739099
6137,0.025423728813559324,0.0
6326,0.11864406779661017,0.009487420928098893
2026,0.00847457627118644,0.0
6427,0.01694915254237288,7.243227582210633e-05
6594,0.025423728813559324,0.0
6153,0.11864406779661017,0.0015399906642844493
1123,0.0847457627118644,0.00010864841373315949
6101,0.00847457627118644,0.0
6128,0.025423728813559324,0.0
2114,0.00847457627118644,0.0
2111,0.00847457627118644,0.0
1182,0.03389830508474576,0.0007243227582210633
2233,0.06779661016949153,0.0
6412,0.16101694915254236,0.004060633862893749
1166,0.03389830508474576,0.0
1137,0.05084745762711865,0.00014486455164421265
1161,0.00847457627118644,0.0
1114,0.07627118644067797,0.0
1115,0.11864406779661017,0.0028852189869139023
6160,0.025423728813559324,0.0
7903,0.00847457627118644,0.0
6179,0.025423728813559324,0.0
1200,0.00847457627118644,0.0
1112,0.09322033898305085,0.0015210777922642328
6075,0.11016949152542373,9.255235243935807e-05
1119,0.0847457627118644,0.0017383746197305518
1164,0.0423728813559322,0.00021729682746631898
1116,0.0847457627118644,0.00021729682746631898
1129,0.025423728813559324,3.621613791105316e-05
6122,0.01694915254237288,0.0
9011,0.00847457627118644,0.0
6039,0.00847457627118644,0.0
6430,0.01694915254237288,0.0
6121,0.0423728813559322,0.0
6142,0.01694915254237288,0.0
6001,0.00847457627118644,0.0
6419,0.01694915254237288,0.0
1121,0.16101694915254236,0.018977256265391856
7107,0.059322033898305086,1.4486455164421266e-05
6180,0.025423728813559324,0.001593510068086339
6171,0.1016949152542373,0.0
6187,0.03389830508474576,0.0
1130,0.06779661016949153,0.001303780964797914
2067,0.0423728813559322,7.243227582210633e-05
6159,0.0423728813559322,0.0010140518615094885
6929,0.01694915254237288,0.0
7083,0.01694915254237288,0.0
6152,0.1016949152542373,6.599385130458575e-05
CO0007,0.05084745762711865,0.0
2104,0.07627118644067797,0.0018470230334637113
7108,0.059322033898305086,1.4486455164421266e-05
1163,0.03389830508474576,0.0
6115,0.1016949152542373,0.003331884687816891
6365,0.059322033898305086,1.4486455164421266e-05
1135,0.025423728813559324,0.0
1160,0.00847457627118644,0.0
6405,0.0847457627118644,0.0
6191,0.03389830508474576,0.0
1140,0.01694915254237288,0.0
6155,0.11016949152542373,0.0018055756756321726
1120,0.0847457627118644,0.00021729682746631898
6000,0.01694915254237288,0.0
1125,0.07627118644067797,0.0
2057,0.2033898305084746,0.0
6004,0.01694915254237288,0.0
6154,0.11016949152542373,0.0006056143061792779
6093,0.03389830508474576,9.657636776280842e-05
6074,0.13559322033898305,0.003933877380205064
7901,0.00847457627118644,0.0
1113,0.059322033898305086,0.00043459365493263795
3715,0.07627118644067797,0.0
1131,0.0423728813559322,0.0
6140,0.1271186440677966,0.010608913998744505
1124,0.09322033898305085,0.00018108068955526583
10962,0.025423728813559324,0.0
2109,0.00847457627118644,0.0
2048,0.07627118644067797,0.0
1167,0.03389830508474576,0.0
6143,0.01694915254237288,0.0
6244,0.03389830508474576,0.0
6116,0.03389830508474576,0.0
1141,0.09322033898305085,0.0
1126,0.07627118644067797,0.0
1122,0.0847457627118644,0.0014124293785310734
6157,0.1440677966101695,0.0011307483058895487
2001,0.03389830508474576,7.243227582210633e-05
1093,0.03389830508474576,0.0
6132,0.06779661016949153,0.00538413250277657
6094,0.01694915254237288,0.0
2100,0.03389830508474576,0.00018108068955526583
2237,0.07627118644067797,0.0017021584818194986
6156,0.1016949152542373,0.0022751782638788286
1144,0.05084745762711865,0.0005794582065768506
6117,0.00847457627118644,0.0
9406,0.09322033898305085,0.010027041382973586
6183,0.01694915254237288,0.0
1139,0.025423728813559324,0.0
7082,0.05084745762711865,0.0014124293785310734
1111,0.05084745762711865,7.243227582210633e-05
1183,0.0423728813559322,0.00010864841373315949
6186,0.00847457627118644,0.0
