User,Degree Centrality,Betweenness Centrality,Eigenvector Centrality,Community
8561,0.0031569173630454964,0.00012158174225084537,1.7519338652171e-69,7
10007,0.001671309192200557,5.4323757175909645e-06,9.838717719837335e-42,7
10008,0.0018570102135561746,0.00018023070523618935,1.4416670851040956e-41,7
10009,0.0014856081708449396,0.0,1.1286091244666143e-41,7
10010,0.0014856081708449396,0.0,1.6537701323503129e-41,7
10011,0.0014856081708449396,0.0,2.4233065561683563e-41,7
10012,0.001671309192200557,2.1729502870363855e-06,4.534811437640361e-41,7
10013,0.001671309192200557,2.7765475889909373e-06,5.661109550118969e-41,7
10014,0.0014856081708449396,0.0,8.295443386182441e-41,7
10025,0.00018570102135561745,0.0,7.956102930141226e-73,332
10026,0.00018570102135561745,0.0,5.012344845988974e-71,332
10038,0.0005571030640668523,6.898254879480589e-08,5.012344845988974e-71,214
10040,0.0003714020427112349,0.0,1.554622512549596e-69,214
10159,0.0003714020427112349,0.0,7.956102930141226e-73,220
10046,0.0003714020427112349,0.0,5.012344845988974e-71,220
10060,0.002599814298978644,0.0,8.745978702846401e-65,15
10047,0.002599814298978644,0.0,2.8519700844571083e-60,15
10061,0.002599814298978644,0.0,7.556303265008174e-63,15
10062,0.002599814298978644,0.0,8.628982124759703e-64,15
10063,0.002599814298978644,0.0,5.964782314453712e-62,15
10064,0.002599814298978644,0.0,1.6039503507164719e-69,15
10065,0.0031569173630454964,4.0581136791533284e-05,6.095202279192918e-67,15
10066,0.002599814298978644,0.0,5.012344845988974e-71,15
10067,0.002599814298978644,0.0,7.709251311358621e-66,15
10074,0.002599814298978644,0.0,4.296498888520667e-61,15
10599,0.002599814298978644,0.0,7.956102930141226e-73,15
7098,0.0011142061281337046,0.0,7.956102930141226e-73,18
10048,0.001671309192200557,5.822094269448859e-05,5.086201349489478e-67,18
9900,0.0018570102135561746,2.9783215442157444e-05,3.324775853476718e-68,18
1007,0.0007428040854224698,0.0,7.956102930141226e-73,33
1005,0.002785515320334262,1.6977660500316845e-06,3.242881683949337e-21,33
5187,0.002599814298978644,1.1394831761231349e-06,4.288678425750699e-21,33
10051,0.0005571030640668523,0.0,7.956102930141226e-73,15
10050,0.0009285051067780873,2.2419328358311916e-07,9.945128662676542e-71,15
10410,0.0005571030640668523,0.0,7.956102930141226e-73,15
10592,0.00018570102135561745,0.0,7.956102930141226e-73,333
10059,0.00018570102135561745,0.0,5.012344845988974e-71,333
1006,0.002785515320334262,5.160767398251266e-07,1.8298442481222213e-21,33
10324,0.002228412256267409,3.0130280649120183e-05,3.645406801561409e-68,15
10068,0.002599814298978644,0.0,5.5049756108718895e-58,15
10070,0.002599814298978644,0.0,1.0144753881642638e-58,15
10071,0.002599814298978644,0.0,1.7587539860173282e-59,15
10069,0.002599814298978644,0.0,2.824198635519575e-57,15
10081,0.00018570102135561745,0.0,7.956102930141226e-73,334
10082,0.00018570102135561745,0.0,5.012344845988974e-71,334
10083,0.0011142061281337046,2.7593019517922357e-07,7.202284454598558e-66,15
10584,0.0005571030640668523,0.0,7.956102930141226e-73,15
9998,0.0018570102135561746,2.7075650401961313e-06,5.7787641973524115e-67,15
10085,0.0003714020427112349,0.0,5.012344845988974e-71,218
10084,0.0003714020427112349,0.0,1.6039503507164719e-69,218
12160,0.0003714020427112349,0.0,7.956102930141226e-73,218
10087,0.0003714020427112349,0.0,7.956102930141226e-73,24
10086,0.0007428040854224698,6.898254879480589e-08,5.012344845988974e-71,24
1009,0.002971216341689879,2.5802038893384695e-07,2.28447967247855e-21,33
9006,0.002971216341689879,1.3707689091558716e-07,1.3148339964021681e-21,33
10100,0.0005571030640668523,3.3801448909454887e-06,5.012344845988974e-71,5
10091,0.0035283194057567314,0.00016859718161832754,5.214617876553585e-06,5
10396,0.004456824512534818,0.00011578709865597267,6.225545782059316e-05,5
12042,0.00018570102135561745,0.0,7.956102930141226e-73,5
7754,0.0011142061281337046,0.00020378019768558942,7.400730347543897e-66,5
12086,0.00018570102135561745,0.0,7.956102930141226e-73,5
10304,0.0007428040854224698,0.0,7.956102930141226e-73,114
10092,0.0007428040854224698,0.0,5.012344845988974e-71,114
10093,0.0007428040854224698,0.0,1.6039503507164719e-69,114
10094,0.0007428040854224698,0.0,3.4752257598856877e-68,114
10095,0.0007428040854224698,0.0,5.7341225038113854e-67,114
1000,0.0011142061281337046,7.243167623454619e-07,5.012344845988974e-71,26
1010,0.0014856081708449396,8.967731343324766e-07,1.554622512549596e-69,26
